Date;Vaka
14.09.2021;27.802
13.09.2021;24.613
12.09.2021;21.352
11.09.2021;22.923
10.09.2021;23.562
9.09.2021;23.846
8.09.2021;23.914
7.09.2021;23.638
6.09.2021;20.962
5.09.2021;19.391
4.09.2021;20.033
3.09.2021;22.857
2.09.2021;23.496
1.09.2021;23.946
31.08.2021;21.893
30.08.2021;19.557
29.08.2021;17.332
28.08.2021;17.912
27.08.2021;18.340
26.08.2021;19.616
25.08.2021;19.970
24.08.2021;19.191
23.08.2021;18.857
22.08.2021;18.622
21.08.2021;19.351
20.08.2021;19.918
19.08.2021;19.320
18.08.2021;19.944
17.08.2021;21.692
16.08.2021;18.163
15.08.2021;18.847
14.08.2021;19.949
13.08.2021;21.372
12.08.2021;22.261
11.08.2021;27.356
10.08.2021;26.597
9.08.2021;23.731
8.08.2021;22.699
7.08.2021;25.100
6.08.2021;23.957
5.08.2021;24.297
4.08.2021;26.822
3.08.2021;24.832
2.08.2021;22.898
1.08.2021;20.890
31.07.2021;22.332
30.07.2021;22.083
29.07.2021;22.161
28.07.2021;22.291
27.07.2021;19.761
26.07.2021;16.809
25.07.2021;14.230
24.07.2021;12.381
23.07.2021;11.094
22.07.2021;9.586
21.07.2021;8.151
20.07.2021;8.780
19.07.2021;7.667
18.07.2021;7.680
17.07.2021;7.666
16.07.2021;6.918
15.07.2021;7.304
14.07.2021;6.907
13.07.2021;6.285
12.07.2021;5.404
11.07.2021;5.261
10.07.2021;5.530
9.07.2021;5.670
8.07.2021;5.171
7.07.2021;5.160
6.07.2021;5.299
5.07.2021;4.678
4.07.2021;4.418
3.07.2021;4.537
2.07.2021;4.891
1.07.2021;5.288
30.06.2021;5.496
29.06.2021;5.846
28.06.2021;5.283
27.06.2021;4.883
26.06.2021;5.266
25.06.2021;5.630
24.06.2021;5.703
23.06.2021;5.809
22.06.2021;6.143
21.06.2021;5.294
20.06.2021;5.091
19.06.2021;5.480
18.06.2021;5.575
17.06.2021;5.904
16.06.2021;6.221
15.06.2021;5.955
14.06.2021;5.626
13.06.2021;5.012
12.06.2021;6.076
11.06.2021;6.261
10.06.2021;6.408
9.06.2021;6.454
8.06.2021;6.609
7.06.2021;5.647
6.06.2021;5.386
5.06.2021;6.126
4.06.2021;6.169
3.06.2021;6.602
2.06.2021;7.181
1.06.2021;7.112
31.05.2021;6.493
30.05.2021;6.933
29.05.2021;7.656
28.05.2021;7.773
27.05.2021;8.426
26.05.2021;8.738
25.05.2021;9.375
24.05.2021;7.523
23.05.2021;7.839
22.05.2021;8.697
21.05.2021;9.528
20.05.2021;9.385
19.05.2021;11.553
18.05.2021;11.937
17.05.2021;10.174
16.05.2021;10.512
15.05.2021;11.472
14.05.2021;11.394
13.05.2021;11.534
12.05.2021;13.029
11.05.2021;14.497
10.05.2021;13.604
9.05.2021;15.191
8.05.2021;18.052
7.05.2021;20.107
6.05.2021;22.388
5.05.2021;26.476
4.05.2021;28.997
3.05.2021;24.733
2.05.2021;25.980
1.05.2021;28.817
30.04.2021;31.891
29.04.2021;37.674
28.04.2021;40.444
27.04.2021;43.301
26.04.2021;37.312
25.04.2021;38.553
24.04.2021;40.596
23.04.2021;49.438
22.04.2021;54.791
21.04.2021;61.967
20.04.2021;61.028
19.04.2021;55.149
18.04.2021;55.802
17.04.2021;62.606
16.04.2021;63.082
15.04.2021;61.400
14.04.2021;62.797
13.04.2021;59.187
12.04.2021;54.562
11.04.2021;50.678
10.04.2021;52.676
9.04.2021;55.791
8.04.2021;55.941
7.04.2021;54.740
6.04.2021;49.584
5.04.2021;42.551
4.04.2021;41.998
3.04.2021;44.756
2.04.2021;42.308
1.04.2021;40.806
31.03.2021;39.302
30.03.2021;37.303
29.03.2021;32.404
28.03.2021;29.058
27.03.2021;30.021
26.03.2021;29.081
25.03.2021;28.731
24.03.2021;29.762
23.03.2021;26.182
22.03.2021;22.216
21.03.2021;20.428
20.03.2021;21.061
19.03.2021;21.030
18.03.2021;20.049
17.03.2021;18.912
16.03.2021;16.749
15.03.2021;15.503
14.03.2021;13.378
13.03.2021;15.082
12.03.2021;14.941
11.03.2021;14.046
10.03.2021;14.556
9.03.2021;13.755
8.03.2021;13.215
7.03.2021;11.187
6.03.2021;11.770
5.03.2021;11.302
4.03.2021;11.322
3.03.2021;11.520
2.03.2021;11.837
1.03.2021;9.891
28.02.2021;8.424
27.02.2021;9.193
26.02.2021;9.205
25.02.2021;9.572
24.02.2021;9.561
23.02.2021;9.107
22.02.2021;8.104
21.02.2021;6.546
20.02.2021;7.857
19.02.2021;7.419
18.02.2021;7.241
17.02.2021;7.325
16.02.2021;7.906
15.02.2021;7.945
14.02.2021;6.287
13.02.2021;7.706
12.02.2021;7.763
11.02.2021;7.590
10.02.2021;8.642
9.02.2021;8.636
8.02.2021;8.103
7.02.2021;6.670
6.02.2021;7.897
5.02.2021;7.901
4.02.2021;7.909
3.02.2021;8.102
2.02.2021;7.795
1.02.2021;7.719
31.01.2021;6.562
30.01.2021;6.871
29.01.2021;6.912
28.01.2021;7.279
27.01.2021;7.489
26.01.2021;7.103
25.01.2021;5.642
24.01.2021;5.277
23.01.2021;5.856
22.01.2021;5.967
21.01.2021;6.289
20.01.2021;6.435
19.01.2021;6.818
18.01.2021;5.862
17.01.2021;6.436
16.01.2021;7.550
15.01.2021;8.314
14.01.2021;8.962
13.01.2021;9.554
12.01.2021;9.809
11.01.2021;10.220
10.01.2021;9.138
9.01.2021;9.537
8.01.2021;11.479
7.01.2021;12.171
6.01.2021;13.830
5.01.2021;14.494
4.01.2021;13.695
3.01.2021;9.877
2.01.2021;11.180
1.01.2021;12.203
31.12.2020;14.380
30.12.2020;15.692
29.12.2020;15.805
28.12.2020;15.197
27.12.2020;14.205
26.12.2020;15.118
25.12.2020;17.543
24.12.2020;18.102
23.12.2020;19.650
22.12.2020;19.256
21.12.2020;19.103
20.12.2020;20.316
19.12.2020;22.195
18.12.2020;26.410
17.12.2020;27.515
16.12.2020;29.718
15.12.2020;32.102
14.12.2020;29.617
13.12.2020;26.919
12.12.2020;29.136
11.12.2020;32.106
10.12.2020;30.424
9.12.2020;31.712
8.12.2020;33.198
7.12.2020;32.137
6.12.2020;30.402
5.12.2020;31.896
4.12.2020;32.736
3.12.2020;32.381
2.12.2020;31.923
1.12.2020;30.110
30.11.2020;31.219
29.11.2020;29.281
28.11.2020;30.103
27.11.2020;29.845
26.11.2020;29.132
25.11.2020;28.351
